person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
7,Tamsin Greig,ACTOR,3,6.4,6.15
8,Arsher Ali,ACTOR,3,6.27,6.27
11,Katherine Kelly,ACTOR,2,7.4,7.31
16,Miriam Leone,ACTOR,1,6.6,6.8
18,Stefano Accorsi,ACTOR,2,6.85,7.35
21,Pietro Ragusa,ACTOR,2,6.75,6.5
25,Flavio Medina,ACTOR,3,6.77,7.17
26,Rosa María Bianchi,ACTOR,2,6.75,7.0
27,Sophie Alexander-Katz,ACTOR,4,6.83,7.18
36,Livia Brito Pestana,ACTOR,1,7.2,7.2
38,Ela Velden,ACTOR,1,5.7,7.6
45,David Lewis,ACTOR,5,4.54,5.44
48,Tom Kane,ACTOR,4,5.8,6.0
50,Carl Lumbly,ACTOR,1,7.4,7.4
51,Kevin Conroy,ACTOR,2,6.4,4.31
53,Phil LaMarr,ACTOR,2,6.6,7.45
54,Susan Eisenberg,ACTOR,1,5.3,6.8
58,Andrew Bachelor,ACTOR,9,5.92,6.51
60,Jamie Chung,ACTOR,2,5.6,6.37
61,Ryan Hansen,ACTOR,7,5.2,5.67
62,Alison Rich,ACTOR,2,7.2,7.2
64,Daryl Sabara,ACTOR,2,5.65,5.95
65,Néstor Cantillana,ACTOR,1,6.5,5.9
67,Benjamín Vicuña,ACTOR,2,7.2,6.9
68,Luis Gnecco,ACTOR,3,6.73,6.8
69,Marcelo Alonso,ACTOR,1,6.8,6.3
71,Aline Küppenheim,ACTOR,1,6.5,5.9
72,Luis Dubó,ACTOR,1,6.2,5.8
73,Blanca Lewin,ACTOR,1,8.5,8.0
77,Alejandro Goic,ACTOR,3,6.15,6.45
78,Fele Martínez,ACTOR,2,6.1,6.15
79,Paulina Urrutia,ACTOR,1,6.2,5.8
82,Cristián de la Fuente,ACTOR,1,,7.3
83,Héctor Morales,ACTOR,3,6.27,6.03
90,Sergio Hernández,ACTOR,2,8.5,8.0
102,Laura Galán,ACTOR,1,6.1,6.1
103,Paola Lattus,ACTOR,1,6.8,6.3
114,Juan de Dios Larraín,ACTOR,1,6.2,5.8
115,Pablo Larraín,DIRECTOR,2,6.5,6.05
121,Mamiko Noto,ACTOR,3,7.33,7.7
122,Rie Tanaka,ACTOR,2,7.1,8.56
123,Takahiro Mizushima,ACTOR,2,8.4,8.45
130,Saori Hayami,ACTOR,12,7.2,7.63
131,Toshiyuki Toyonaga,ACTOR,2,7.65,7.15
132,Daisuke Ono,ACTOR,12,7.39,7.79
133,Miyu Irino,ACTOR,4,7.07,7.15
135,Hiroshi Kamiya,ACTOR,10,7.2,7.66
136,Keiji Fujiwara,ACTOR,3,7.73,7.77
137,Risa Taneda,ACTOR,2,6.95,7.9
138,Takahiro Sakurai,ACTOR,21,6.87,7.61
140,Ayane Sakura,ACTOR,4,6.9,7.72
142,Yuko Kaida,ACTOR,7,7.06,7.21
143,Shinnosuke Tachibana,ACTOR,1,8.2,7.5
145,Rie Kugimiya,ACTOR,8,7.14,7.65
157,Jacob Blair,ACTOR,1,7.4,7.15
158,Edward James Olmos,ACTOR,3,7.77,7.43
160,Terry Crews,ACTOR,11,5.87,6.02
161,Essence Atkins,ACTOR,2,6.95,7.35
163,Coy Stewart,ACTOR,2,6.6,8.15
165,Telma Hopkins,ACTOR,2,6.4,7.1
169,Chiaki Takahashi,ACTOR,1,7.0,8.2
177,James Rebhorn,ACTOR,1,7.4,7.2
187,Alexandra Neil,ACTOR,1,6.7,6.6
192,Shanna Reed,ACTOR,1,6.5,6.5
193,Harley Jane Kozak,ACTOR,1,7.7,7.4
198,Morgan Freeman,ACTOR,10,7.25,7.05
201,Mario López,ACTOR,3,6.37,7.2
202,Roy Chiu,ACTOR,5,6.46,6.84
204,Rie Takahashi,ACTOR,5,6.6,7.35
206,Ari Ozawa,ACTOR,1,5.0,6.5
207,Inori Minase,ACTOR,1,8.1,8.8
208,Ai Kayano,ACTOR,9,7.32,7.78
209,Emiri Kato,ACTOR,1,8.2,7.5
210,Juri Kimura,ACTOR,1,7.2,6.7
214,Michael McKean,ACTOR,1,6.8,8.0
215,Lisa Kudrow,ACTOR,2,7.15,7.0
216,Bob Balaban,ACTOR,3,5.87,5.6
217,Martin Mull,ACTOR,1,6.7,6.5
219,Paul Reubens,ACTOR,5,6.16,6.42
220,Paul Dooley,ACTOR,1,6.8,6.4
222,Jennifer Coolidge,ACTOR,4,5.15,6.02
223,Nora Ephron,ACTOR,1,,7.8
223,Nora Ephron,DIRECTOR,1,6.7,6.64
224,Rob Reiner,ACTOR,1,5.2,5.5
224,Rob Reiner,DIRECTOR,3,6.87,6.73
230,Ciarán Hinds,ACTOR,2,6.85,6.75
233,David Calder,ACTOR,1,8.1,7.7
238,Ben Sidell,ACTOR,2,6.65,6.8
246,Mai Nakahara,ACTOR,2,7.2,8.15
247,Hitomi Nabatame,ACTOR,1,6.2,8.0
249,Tomokazu Sugita,ACTOR,10,6.19,7.19
263,Silvia Navarro,ACTOR,2,6.45,7.4
266,Rafael Inclán,ACTOR,1,6.1,7.6
267,Adrián Uribe,ACTOR,1,3.7,5.3
270,Fabiola Campomanes,ACTOR,1,6.8,6.1
271,Juan Pablo Gil,ACTOR,1,6.8,7.4
273,Minako Kotobuki,ACTOR,11,7.03,7.26
274,Nobunaga Shimazaki,ACTOR,9,6.83,7.57
275,Tomoaki Maeno,ACTOR,3,6.43,7.13
276,Yumi Uchiyama,ACTOR,1,6.2,8.0
282,Emily Neves,ACTOR,1,4.5,7.34
286,Julia Stiles,ACTOR,3,6.17,6.71
287,Uriah Shelton,ACTOR,1,5.4,6.7
288,Corey Johnson,ACTOR,2,5.5,5.8
303,Tiffany Hsu,ACTOR,5,7.1,7.44
305,Chris Wang,ACTOR,2,6.95,2.9
306,Armen Weitzman,ACTOR,3,7.07,7.03
307,Thomas F. Wilson,ACTOR,1,8.3,8.5
308,Bo Burnham,ACTOR,4,7.88,7.8
308,Bo Burnham,DIRECTOR,3,7.9,7.63
309,Kari Coleman,ACTOR,2,7.6,7.6
310,Cameron Palatas,ACTOR,1,8.3,8.5
311,Caitlin Gerard,ACTOR,2,6.9,7.05
313,Megumi Toyoguchi,ACTOR,1,7.8,7.9
314,Ayumi Fujimura,ACTOR,3,6.9,7.7
315,Nobuhiko Okamoto,ACTOR,6,7.16,7.16
318,Jackson Rathbone,ACTOR,3,5.3,6.57
319,Aimee Teegarden,ACTOR,1,8.7,8.1
321,Tom Hollander,ACTOR,4,6.45,6.9
322,Olivia Colman,ACTOR,6,7.52,7.28
323,Miles Jupp,ACTOR,2,7.4,7.05
326,Alexander Armstrong,ACTOR,1,7.2,7.6
330,Toru Okawa,ACTOR,6,6.78,7.11
335,Jordana Brewster,ACTOR,1,5.8,6.1
337,Gia Mantegna,ACTOR,2,5.8,5.85
338,Miki Nagasawa,ACTOR,2,8.25,8.52
339,Shin-ichiro Miki,ACTOR,8,7.04,7.68
340,Megumi Ogata,ACTOR,6,7.48,8.15
345,Ken Narita,ACTOR,6,7.17,7.57
348,Akio Otsuka,ACTOR,12,7.19,7.45
351,Song Ji-hyo,ACTOR,1,7.1,8.1
353,Hwang Jung-eum,ACTOR,1,8.0,8.29
354,Marta Hazas,ACTOR,4,6.9,6.45
359,Marcial Álvarez,ACTOR,1,7.0,7.7
360,Isak Férriz,ACTOR,2,5.95,6.6
363,Javier Rey,ACTOR,5,6.68,5.86
364,Alicia Sanz,ACTOR,2,4.65,5.75
366,Laia Costa,ACTOR,3,5.67,5.8
367,Belén Cuesta,ACTOR,6,6.8,6.58
372,Han Hye-jin,ACTOR,1,6.3,7.0
373,Cha Hwa-yeon,ACTOR,1,,7.95
375,Yu Kobayashi,ACTOR,4,7.05,8.18
376,Mai Fuchigami,ACTOR,1,6.2,8.0
378,Koji Yusa,ACTOR,9,7.01,7.1
380,Mariya Ise,ACTOR,11,7.34,7.39
381,Fumihiko Tachiki,ACTOR,5,7.8,7.87
382,Katsuyuki Konishi,ACTOR,9,7.31,7.5
383,Kim Hee-jung,ACTOR,3,7.85,8.4
386,Kim Jung-hwa,ACTOR,1,7.2,7.0
388,Romi Park,ACTOR,10,7.26,7.54
389,Nana Mizuki,ACTOR,7,7.13,7.32
392,Danny John-Jules,ACTOR,1,7.1,6.7
395,Jun Fukuyama,ACTOR,14,7.42,7.94
396,Aoi Yuki,ACTOR,11,7.67,7.91
404,Jim Meskimen,ACTOR,2,5.95,6.35
405,Cam Clarke,ACTOR,1,6.2,5.97
409,Brittany Daniel,ACTOR,1,6.6,8.4
416,Tsubasa Yonaga,ACTOR,2,6.85,7.05
417,Mitsuru Ogata,ACTOR,1,7.0,8.2
425,Kang Shin-il,ACTOR,2,7.65,8.01
430,Jung Ae-ri,ACTOR,2,8.6,8.55
434,Satsuki Yukino,ACTOR,8,7.32,7.79
435,Britt McKillip,ACTOR,8,6.16,6.62
436,Chiara Zanni,ACTOR,1,5.6,5.9
439,Sam Vincent,ACTOR,6,5.8,7.53
450,Akeno Watanabe,ACTOR,1,7.5,8.1
452,Miyuki Sawashiro,ACTOR,8,7.51,8.03
457,Oh Man-seok,ACTOR,2,6.1,7.65
459,Kim Min-jong,ACTOR,1,8.2,8.48
460,Shin Sung-rok,ACTOR,1,8.2,8.48
