id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
ts300399,Five Came Back: The Reference Films,SHOW,1945,1940,TV-MA,51,0,1.0,,,,0.6,0,documentation,1,US,1
tm84618,Taxi Driver,MOVIE,1976,1970,R,114,0,,8.2,808582.0,8.179,40.965,1,drama,2,US,1
tm154986,Deliverance,MOVIE,1972,1970,R,109,0,,7.7,107673.0,7.3,10.01,1,drama,4,US,1
tm127384,Monty Python and the Holy Grail,MOVIE,1975,1970,PG,91,0,,8.2,534486.0,7.811,15.461,1,fantasy,3,GB,1
tm120801,The Dirty Dozen,MOVIE,1967,1960,Not Rated,150,0,,7.7,72662.0,7.6,20.398,1,war,2,GB,2
ts22164,Monty Python's Flying Circus,SHOW,1969,1960,TV-14,30,0,4.0,8.8,73424.0,8.306,17.617,1,comedy,2,GB,1
tm70993,Life of Brian,MOVIE,1979,1970,R,94,0,,8.0,395024.0,7.8,17.77,1,comedy,1,GB,1
tm14873,Dirty Harry,MOVIE,1971,1970,R,102,0,,7.7,155051.0,7.5,12.817,1,thriller,3,US,1
tm119281,Bonnie and Clyde,MOVIE,1967,1960,R,110,0,,7.7,112048.0,7.5,15.687,1,crime,3,US,1
tm98978,The Blue Lagoon,MOVIE,1980,1980,R,104,0,,5.8,69844.0,6.156,50.324,1,romance,3,US,1
tm44204,The Guns of Navarone,MOVIE,1961,1960,Not Rated,158,0,,7.5,50748.0,7.3,13.844,1,action,3,GB,2
tm67378,The Professionals,MOVIE,1966,1960,PG-13,117,0,,7.3,16446.0,7.1,13.123,1,western,3,US,1
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,1970,R,78,0,,8.1,5141.0,7.5,4.718,1,comedy,2,US,1
tm16479,White Christmas,MOVIE,1954,1950,Not Rated,115,0,,7.5,42488.0,7.2,8.915,1,romance,2,US,1
tm135083,Cairo Station,MOVIE,1958,1950,Not Rated,77,0,,7.5,4471.0,7.3,5.546,1,drama,3,EG,1
tm89386,Hitler: A Career,MOVIE,1977,1970,PG,150,0,,7.5,2460.0,7.3,4.305,1,history,3,DE,1
tm156453,FTA,MOVIE,1972,1970,R,97,0,,6.2,418.0,6.1,1.268,1,war,4,US,1
tm14350,Alexandria… Why?,MOVIE,1979,1970,Not Rated,133,0,,7.2,1727.0,6.0,1.37,1,drama,1,EG,1
tm81728,The Land,MOVIE,1969,1960,Not Rated,129,0,,8.1,1958.0,8.5,1.265,1,drama,1,EG,1
tm94651,Dostana,MOVIE,1980,1980,Not Rated,161,0,,2.1,25.0,4.9,3.98,1,drama,5,IN,1
tm27298,Saladin the Victorious,MOVIE,1963,1960,Not Rated,186,0,,7.6,2508.0,7.1,4.156,1,action,5,EG,1
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,1970,Not Rated,146,0,,6.2,565.0,6.8,2.582,1,drama,5,SU,2
tm19608,The Blazing Sun,MOVIE,1954,1950,Not Rated,100,0,,7.4,1219.0,7.0,2.184,1,crime,3,EG,1
tm204541,Dark Waters,MOVIE,1956,1950,Not Rated,120,0,,6.7,610.0,5.9,0.849,1,action,4,EG,1
tm259855,We Are All for the Fatherland,MOVIE,1979,1970,Not Rated,74,0,,6.1,47.0,5.2,0.6,1,documentation,1,LB,3
tm356209,Singapore,MOVIE,1960,1960,Not Rated,158,0,,6.4,84.0,6.3,0.792,1,drama,3,IN,1
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,1970,TV-MA,43,0,1.0,8.1,2151.0,7.0,1.487,1,comedy,1,,0
tm200475,"Beirut, Oh Beirut",MOVIE,1975,1970,Not Rated,110,0,,6.4,108.0,7.2,1.025,1,drama,1,LB,1
tm90896,The Return of the Prodigal Son,MOVIE,1976,1970,Not Rated,124,0,,7.2,780.0,5.3,1.858,1,music,3,DZ,2
tm336403,Khoon Khoon,MOVIE,1973,1970,Not Rated,131,0,,5.1,41.0,3.8,1.948,1,crime,2,IN,1
tm107372,Manoranjan,MOVIE,1974,1970,Not Rated,162,0,,6.5,237.0,5.3,1.532,1,romance,3,IN,1
tm358653,Ujala,MOVIE,1959,1950,Not Rated,142,0,,6.6,78.0,6.0,0.84,1,romance,3,IN,1
tm259684,Whispers,MOVIE,1980,1980,Not Rated,93,0,,7.8,78.0,5.0,0.6,1,documentation,1,CA,3
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,1970,Not Rated,135,0,,4.6,14.0,6.0,0.62,1,romance,1,IN,1
